1473,797
797,1614
1614,1473
1266,1574
1574,1524
1524,1266
1266,777
1333,1704
1704,1774
1774,1333
1212,1704
1333,1212
1704,229
825,1212
1333,825
825,1871
1871,1366
1366,825
825,1921
1921,1871
1030,253
253,660
660,1030
912,482
232,912
1932,912
232,1932
1835,406
801,1835
406,612
612,1322
1322,406
1051,664
664,1932
1932,1051
10,664
1051,10
253,10
10,660
253,664
1051,441
441,329
329,1051
1932,441
221,1271
1271,329
329,221
1271,1051
10,1271
221,10
973,1363
1363,51
51,973
51,174
174,973
698,1992
1992,1420
1420,698
1118,1434
1434,51
1118,741
741,1434
51,1058
1058,174
1247,476
476,254
1512,476
1247,1512
66,1512
1247,66
66,231
231,1512
66,1838
1838,1954
1954,66
1475,1526
1526,1908
1908,1475
1993,353
353,463
463,1993
1383,141
449,1383
1804,1383
449,1804
1651,1283
1283,449
1283,1804
907,1283
1651,907
89,1139
1139,1089
1089,89
89,431
629,89
629,1139
1942,288
288,332
332,1942
322,119
824,322
1544,322
322,40
708,1221
1988,708
515,805
805,125
125,515
515,708
708,805
1896,955
955,1667
955,1298
297,1777
1777,1109
1298,1777
955,1777
1896,1777
805,1397
1397,125
1397,1581
1581,125
1102,1397
805,1102
817,1439
833,817
546,1382
1382,757
546,134
134,1382
1382,1602
1602,757
170,293
293,826
1912,293
170,1912
620,417
417,1250
1250,620
417,1501
1501,1250
446,998
998,620
620,446
1830,998
998,1581
1581,1830
1790,446
620,1790
1860,1912
170,1860
847,1860
170,847
1024,1860
1693,1787
1510,1693
1693,641
641,1787
30,899
899,1544
1787,899
1349,946
946,1287
1287,1349
1349,217
1209,1349
1287,1209
28,1349
946,1610
1610,1287
1676,1933
1933,1948
1948,1676
1652,386
386,1595
1595,1652
386,130
1198,196
196,1602
1602,1198
1382,1198
1828,1198
1198,202
202,1828
1198,134
134,202
757,1010
1010,1101
1101,757
844,1849
1849,1675
1675,844
327,48
48,215
215,327
151,205
205,1163
1163,151
151,606
35,185
185,1928
1928,35
1981,1944
1944,1877
1877,1981
1981,935
935,1944
1396,1036
1036,1928
1928,1396
1036,35
1036,1103
1103,35
1736,1396
1928,1736
201,1077
1077,944
944,201
936,1707
1707,944
944,936
1707,201
1707,1134
1134,201
1077,143
143,1420
1420,1077
18,936
944,18
1534,18
561,308
308,1675
1675,561
76,927
927,1486
1594,1553
1553,1899
1899,1594
1553,1007
1007,1259
1259,1553
1326,1652
1595,1326
319,1326
65,319
1468,65
65,1326
65,923
923,1326
703,1592
1592,1578
1640,891
891,206
206,1640
639,1461
1772,639
838,638
638,1330
1330,838
1246,631
8,1246
1616,650
650,223
369,429
429,1192
1192,369
331,213
1192,331
429,331
1042,1543
1435,1042
339,1993
326,339
880,1609
1609,1069
1069,880
1609,1183
1183,1069
433,976
976,1231
1231,433
157,619
619,1366
1366,157
157,1130
1130,619
1812,1947
1947,206
206,1812
1947,884
884,462
462,1947
145,1976
1976,859
859,145
1976,1531
1531,859
1461,1976
656,1976
1976,1437
1437,656
656,1531
379,44
294,379
379,1175
1175,44
1175,1203
1203,44
1270,614
614,1110
1110,1270
1009,1826
1826,940
940,1009
1834,333
333,576
1834,980
980,333
1771,333
576,300
300,24
24,576
300,559
559,24
559,349
349,24
1164,349
349,1541
1164,17
17,349
17,24
349,232
349,1932
1084,1473
1614,1084
987,188
188,1493
188,1312
1312,1493
188,1614
1614,1312
188,1084
987,1084
1759,1312
1614,1759
1759,1493
1759,8
1759,1880
1880,8
797,534
534,1614
534,1759
534,1880
510,797
1473,510
1462,510
510,1310
1310,1462
1462,797
796,742
742,168
168,796
1454,1282
1282,1598
1282,1398
1398,1598
1398,21
21,1598
1398,168
168,21
742,21
917,1315
1315,578
578,917
917,623
623,1315
796,405
405,578
578,796
168,405
1398,1114
1114,168
1114,405
1606,795
795,1454
1454,1606
1087,1606
1454,1087
1721,1704
1212,1721
1721,825
1366,1721
229,1721
1628,825
1333,1628
1628,1921
909,1628
1333,909
149,909
1333,149
149,221
329,149
548,912
912,253
253,548
252,287
287,406
406,252
